sign_id_wordnet,sign_id_original,language,origin,video,links,gloss
dgs.13164,13164,dgs,dgs-korpus,https://www.sign-lang.uni-hamburg.de/galex/filmegr/g13164.mp4,'https://doi.org/10.25592/dgs.corpus-3.0-type-13164,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13164_de.html',KUGEL2A^
dgs.13165,13165,dgs,dgs-korpus,https://www.sign-lang.uni-hamburg.de/korpusdict/clips/3816481_1.mp4,'https://doi.org/10.25592/dgs.corpus-3.0-type-13165,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13165_de.html',KREIS1A^
dgs.13166,13166,dgs,dgs-korpus,https://www.sign-lang.uni-hamburg.de/korpusdict/clips/4017194_1.mp4,'https://doi.org/10.25592/dgs.corpus-3.0-type-13166,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13166_de.html',GIESSEN1A^
dgs.13169,13169,dgs,dgs-korpus,https://www.sign-lang.uni-hamburg.de/korpusdict/clips/3785025_1.mp4,'https://doi.org/10.25592/dgs.corpus-3.0-type-13169,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13169_de.html',VIERECK2^
dgs.13170,13170,dgs,dgs-korpus,https://www.sign-lang.uni-hamburg.de/korpusdict/clips/3354556_1.mp4,'https://doi.org/10.25592/dgs.corpus-3.0-type-13170,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13170_de.html',WARM1A^
dgs.13173,13173,dgs,dgs-korpus,https://www.sign-lang.uni-hamburg.de/korpusdict/clips/3806094_1.mp4,'https://doi.org/10.25592/dgs.corpus-3.0-type-13173,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13173_de.html',ACHTUNG1A^
dgs.13175,13175,dgs,dgs-korpus,,'https://doi.org/10.25592/dgs.corpus-3.0-type-13175,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13175_de.html',MÖBEL1^
dgs.13177,13177,dgs,dgs-korpus,,'https://doi.org/10.25592/dgs.corpus-3.0-type-13177,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13177_de.html',AUFTUN1^
dgs.13179,13179,dgs,dgs-korpus,https://www.sign-lang.uni-hamburg.de/korpusdict/clips/4007787_1.mp4,'https://doi.org/10.25592/dgs.corpus-3.0-type-13179,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13179_de.html',RUND6A^
dgs.13180,13180,dgs,dgs-korpus,https://www.sign-lang.uni-hamburg.de/korpusdict/clips/3476414_1.mp4,'https://doi.org/10.25592/dgs.corpus-3.0-type-13180,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13180_de.html',FLÜGEL1^
dgs.13183,13183,dgs,dgs-korpus,,'https://doi.org/10.25592/dgs.corpus-3.0-type-13183,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13183_de.html',BLANK1A^
dgs.13186,13186,dgs,dgs-korpus,https://www.sign-lang.uni-hamburg.de/korpusdict/clips/3867329_1.mp4,'https://doi.org/10.25592/dgs.corpus-3.0-type-13186,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13186_de.html',ZUSAMMEN2B^
dgs.13187,13187,dgs,dgs-korpus,https://www.sign-lang.uni-hamburg.de/korpusdict/clips/3478811_1.mp4,'https://doi.org/10.25592/dgs.corpus-3.0-type-13187,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13187_de.html',EINTEILEN1A^
dgs.13188,13188,dgs,dgs-korpus,https://www.sign-lang.uni-hamburg.de/korpusdict/clips/3784936_1.mp4,'https://doi.org/10.25592/dgs.corpus-3.0-type-13188,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13188_de.html',AKTIV1^
dgs.13189,13189,dgs,dgs-korpus,https://www.sign-lang.uni-hamburg.de/korpusdict/clips/3309034_1.mp4,'https://doi.org/10.25592/dgs.corpus-3.0-type-13189,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13189_de.html',REPARIEREN1^
dgs.13194,13194,dgs,dgs-korpus,https://www.sign-lang.uni-hamburg.de/galex/filmegr/g13194.mp4,'https://doi.org/10.25592/dgs.corpus-3.0-type-13194,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13194_de.html',TRAGEN3^
dgs.13195,13195,dgs,dgs-korpus,https://www.sign-lang.uni-hamburg.de/galex/filmegr/g13195.mp4,'https://doi.org/10.25592/dgs.corpus-3.0-type-13195,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13195_de.html',KUGEL1B^
dgs.13196,13196,dgs,dgs-korpus,https://www.sign-lang.uni-hamburg.de/korpusdict/clips/3996189_1.mp4,'https://doi.org/10.25592/dgs.corpus-3.0-type-13196,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13196_de.html',FEUER1A^
dgs.13198,13198,dgs,dgs-korpus,https://www.sign-lang.uni-hamburg.de/korpusdict/clips/4361353_1.mp4,'https://doi.org/10.25592/dgs.corpus-3.0-type-13198,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13198_de.html',FEUER1B^
dgs.13199,13199,dgs,dgs-korpus,,'https://doi.org/10.25592/dgs.corpus-3.0-type-13199,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13199_de.html',STROM6^
dgs.13200,13200,dgs,dgs-korpus,https://www.sign-lang.uni-hamburg.de/korpusdict/clips/3791975_1.mp4,'https://doi.org/10.25592/dgs.corpus-3.0-type-13200,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13200_de.html',MISCHEN2^
dgs.13202,13202,dgs,dgs-korpus,https://www.sign-lang.uni-hamburg.de/galex/filmegr/g13202.mp4,'https://doi.org/10.25592/dgs.corpus-3.0-type-13202,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13202_de.html',RUND-KUGEL1^
dgs.13206,13206,dgs,dgs-korpus,https://www.sign-lang.uni-hamburg.de/glex/filmegr/g13206.mp4,'https://doi.org/10.25592/dgs.corpus-3.0-type-13206,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13206_de.html',SCHLANK2A^
dgs.13207,13207,dgs,dgs-korpus,https://www.sign-lang.uni-hamburg.de/korpusdict/clips/3397944_1.mp4,'https://doi.org/10.25592/dgs.corpus-3.0-type-13207,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13207_de.html',WERT1B^
dgs.13208,13208,dgs,dgs-korpus,https://www.sign-lang.uni-hamburg.de/korpusdict/clips/3986598_1.mp4,'https://doi.org/10.25592/dgs.corpus-3.0-type-13208,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13208_de.html',FORM1A^
dgs.13209,13209,dgs,dgs-korpus,https://www.sign-lang.uni-hamburg.de/korpusdict/clips/3966018_1.mp4,'https://doi.org/10.25592/dgs.corpus-3.0-type-13209,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13209_de.html',UM2A^
dgs.13210,13210,dgs,dgs-korpus,https://www.sign-lang.uni-hamburg.de/korpusdict/clips/3476337_1.mp4,'https://doi.org/10.25592/dgs.corpus-3.0-type-13210,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13210_de.html',HÖRNER3A^
dgs.13211,13211,dgs,dgs-korpus,https://www.sign-lang.uni-hamburg.de/glex/filmegr/g13211.mp4,'https://doi.org/10.25592/dgs.corpus-3.0-type-13211,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13211_de.html',RIECHEN1^
dgs.13212,13212,dgs,dgs-korpus,https://www.sign-lang.uni-hamburg.de/galex/filmegr/g13212.mp4,'https://doi.org/10.25592/dgs.corpus-3.0-type-13212,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13212_de.html',KREIS1B^
dgs.13215,13215,dgs,dgs-korpus,https://www.sign-lang.uni-hamburg.de/korpusdict/clips/3252569_1.mp4,'https://doi.org/10.25592/dgs.corpus-3.0-type-13215,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13215_de.html',BEREICH1A^
dgs.13218,13218,dgs,dgs-korpus,https://www.sign-lang.uni-hamburg.de/korpusdict/clips/4502907_1.mp4,'https://doi.org/10.25592/dgs.corpus-3.0-type-13218,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13218_de.html',BEREICH1D^
dgs.13223,13223,dgs,dgs-korpus,,'https://doi.org/10.25592/dgs.corpus-3.0-type-13223,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13223_de.html',KELLE1^
dgs.13234,13234,dgs,dgs-korpus,https://www.sign-lang.uni-hamburg.de/korpusdict/clips/3817768_1.mp4,'https://doi.org/10.25592/dgs.corpus-3.0-type-13234,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13234_de.html',PERSON1^
dgs.13236,13236,dgs,dgs-korpus,https://www.sign-lang.uni-hamburg.de/korpusdict/clips/3961406_1.mp4,'https://doi.org/10.25592/dgs.corpus-3.0-type-13236,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13236_de.html',MAHLEN1^
dgs.13238,13238,dgs,dgs-korpus,https://www.sign-lang.uni-hamburg.de/korpusdict/clips/3294898_1.mp4,'https://doi.org/10.25592/dgs.corpus-3.0-type-13238,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13238_de.html',FEST1A^
dgs.13239,13239,dgs,dgs-korpus,https://www.sign-lang.uni-hamburg.de/korpusdict/clips/3868761_1.mp4,'https://doi.org/10.25592/dgs.corpus-3.0-type-13239,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13239_de.html',DAZU1^
dgs.13241,13241,dgs,dgs-korpus,https://www.sign-lang.uni-hamburg.de/korpusdict/clips/3988873_1.mp4,'https://doi.org/10.25592/dgs.corpus-3.0-type-13241,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13241_de.html',HINEINSTECKEN3^
dgs.13242,13242,dgs,dgs-korpus,,'https://doi.org/10.25592/dgs.corpus-3.0-type-13242,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13242_de.html',ÜBERZIEHEN1A^
dgs.13243,13243,dgs,dgs-korpus,,'https://doi.org/10.25592/dgs.corpus-3.0-type-13243,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13243_de.html',OBEN-OFFEN1^
dgs.13246,13246,dgs,dgs-korpus,https://www.sign-lang.uni-hamburg.de/korpusdict/clips/3514076_1.mp4,'https://doi.org/10.25592/dgs.corpus-3.0-type-13246,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13246_de.html',TIER1A^
dgs.13249,13249,dgs,dgs-korpus,https://www.sign-lang.uni-hamburg.de/korpusdict/clips/3295127_1.mp4,'https://doi.org/10.25592/dgs.corpus-3.0-type-13249,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13249_de.html',ENDE1^
dgs.13253,13253,dgs,dgs-korpus,https://www.sign-lang.uni-hamburg.de/glex/filmegr/g13253.mp4,'https://doi.org/10.25592/dgs.corpus-3.0-type-13253,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13253_de.html',RIECHEN2^
dgs.13257,13257,dgs,dgs-korpus,,'https://doi.org/10.25592/dgs.corpus-3.0-type-13257,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13257_de.html',GIESSEN2^
dgs.13264,13264,dgs,dgs-korpus,https://www.sign-lang.uni-hamburg.de/galex/filmegr/g13264.mp4,'https://doi.org/10.25592/dgs.corpus-3.0-type-13264,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13264_de.html',WURZEL4A^
dgs.13265,13265,dgs,dgs-korpus,https://www.sign-lang.uni-hamburg.de/korpusdict/clips/3805313_1.mp4,'https://doi.org/10.25592/dgs.corpus-3.0-type-13265,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13265_de.html',GLAS3^
dgs.13268,13268,dgs,dgs-korpus,https://www.sign-lang.uni-hamburg.de/galex/filmegr/g13268.mp4,'https://doi.org/10.25592/dgs.corpus-3.0-type-13268,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13268_de.html',GIESSEN1B^
dgs.13275,13275,dgs,dgs-korpus,https://www.sign-lang.uni-hamburg.de/korpusdict/clips/4006740_1.mp4,'https://doi.org/10.25592/dgs.corpus-3.0-type-13275,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13275_de.html',MUSKEL3^
dgs.13280,13280,dgs,dgs-korpus,https://www.sign-lang.uni-hamburg.de/korpusdict/clips/4005809_1.mp4,'https://doi.org/10.25592/dgs.corpus-3.0-type-13280,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13280_de.html',STOFF1A^
dgs.13282,13282,dgs,dgs-korpus,https://www.sign-lang.uni-hamburg.de/galex/filmegr/g13282.mp4,'https://doi.org/10.25592/dgs.corpus-3.0-type-13282,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13282_de.html',GIESSEN4^
dgs.13297,13297,dgs,dgs-korpus,https://www.sign-lang.uni-hamburg.de/korpusdict/clips/3993622_1.mp4,'https://doi.org/10.25592/dgs.corpus-3.0-type-13297,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13297_de.html',AUFWICKELN1^
dgs.13298,13298,dgs,dgs-korpus,,https://www.sign-lang.uni-hamburg.de/meinedgs/types/type13298_de.html,AUFWICKELN2^
