sign_id_wordnet,sign_id_original,language,origin,video,links,gloss
bsl.3098,3098,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/CO/COUSIN2.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/words/cousin-02.html, https://bslsignbank.ucl.ac.uk/dictionary/gloss/3098',
bsl.3099,3099,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/CO/COUSIN3.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/words/cousin-03.html, https://bslsignbank.ucl.ac.uk/dictionary/gloss/3099',
bsl.3127,3127,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/CU/CUPBOARD2.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/words/cupboard-02.html, https://bslsignbank.ucl.ac.uk/dictionary/gloss/3127',
bsl.3144,3144,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/DA/DAUGHTER.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/words/daughter-1.html, https://bslsignbank.ucl.ac.uk/dictionary/gloss/3144',
bsl.3148,3148,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/DE/DEAF.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/words/deaf-1.html, https://bslsignbank.ucl.ac.uk/dictionary/gloss/3148',
bsl.3157,3157,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/DE/DECEMBER.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/gloss/DECEMBER.html,  https://bslsignbank.ucl.ac.uk/dictionary/gloss/3157',
bsl.3180,3180,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/DE/DERBY.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/words/derby-1.html, https://bslsignbank.ucl.ac.uk/dictionary/gloss/3180',
bsl.3254,3254,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/DV/DVD.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/gloss/DVD.html,  https://bslsignbank.ucl.ac.uk/dictionary/gloss/3254',
bsl.3261,3261,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/EA/EARRING.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/words/earring-1.html, https://bslsignbank.ucl.ac.uk/dictionary/gloss/3261',
bsl.3280,3280,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/EI/EITHER.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/words/either-1.html, https://bslsignbank.ucl.ac.uk/dictionary/gloss/3280',
bsl.3315,3315,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/EU/EURO.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/gloss/EURO.html,  https://bslsignbank.ucl.ac.uk/dictionary/gloss/3315',
bsl.3333,3333,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/EX/EXCUSE-ME.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/gloss/EXCUSE-ME.html,  https://bslsignbank.ucl.ac.uk/dictionary/gloss/3333',
bsl.3354,3354,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/FA/FACTORY.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/words/factory-1.html, https://bslsignbank.ucl.ac.uk/dictionary/gloss/3354',
bsl.3355,3355,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/FA/FACTORY2.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/words/factory-02.html, https://bslsignbank.ucl.ac.uk/dictionary/gloss/3355',
bsl.3413,3413,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/FI/FIREWORKS.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/words/fireworks-1.html, https://bslsignbank.ucl.ac.uk/dictionary/gloss/3413',
bsl.3477,3477,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/FR/FRIDAY.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/gloss/FRIDAY.html,  https://bslsignbank.ucl.ac.uk/dictionary/gloss/3477',
bsl.3482,3482,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/FR/FRISBEE.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/words/frisbee-1.html, https://bslsignbank.ucl.ac.uk/dictionary/gloss/3482',
bsl.3499,3499,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/FU/FURNITURE.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/words/furniture-1.html, https://bslsignbank.ucl.ac.uk/dictionary/gloss/3499',
bsl.3514,3514,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/G-/G-WELL.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/gloss/G:WELL.html,  https://bslsignbank.ucl.ac.uk/dictionary/gloss/3514',
bsl.3525,3525,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/GE/GEOGRAPHY.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/words/geography-1.html, https://bslsignbank.ucl.ac.uk/dictionary/gloss/3525',
bsl.3538,3538,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/GI/GIRAFFE.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/words/giraffe-1.html, https://bslsignbank.ucl.ac.uk/dictionary/gloss/3538',
bsl.3546,3546,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/GL/GLASGOW04-3546.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/gloss/GLASGOW04.html,  https://bslsignbank.ucl.ac.uk/dictionary/gloss/3546',
bsl.3547,3547,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/GL/GLASGOW2.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/gloss/GLASGOW02.html,  https://bslsignbank.ucl.ac.uk/dictionary/gloss/3547',
bsl.3548,3548,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/GL/GLASGOW03-3548.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/gloss/GLASGOW03.html,  https://bslsignbank.ucl.ac.uk/dictionary/gloss/3548',
bsl.3549,3549,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/GL/GLASGOW01b-3549.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/gloss/GLASGOWb.html,  https://bslsignbank.ucl.ac.uk/dictionary/gloss/3549',
bsl.3550,3550,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/GL/GLASGOW01-3550.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/gloss/GLASGOW.html,  https://bslsignbank.ucl.ac.uk/dictionary/gloss/3550',
bsl.3554,3554,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/GO/GO.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/words/go-1.html, https://bslsignbank.ucl.ac.uk/dictionary/gloss/3554',
bsl.3572,3572,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/GO/GOOD.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/words/good-1.html, https://bslsignbank.ucl.ac.uk/dictionary/gloss/3572',
bsl.3582,3582,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/GR/GRANDDAUGHTER.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/words/granddaughter-1.html, https://bslsignbank.ucl.ac.uk/dictionary/gloss/3582',
bsl.3583,3583,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/GR/GRANDFATHER.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/words/grandfather-1.html, https://bslsignbank.ucl.ac.uk/dictionary/gloss/3583',
bsl.3584,3584,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/GR/GRANDMOTHER.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/words/grandmother-1.html, https://bslsignbank.ucl.ac.uk/dictionary/gloss/3584',
bsl.3635,3635,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/HA/HAIRBRUSH.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/words/hairbrush-1.html, https://bslsignbank.ucl.ac.uk/dictionary/gloss/3635',
bsl.3678,3678,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/HE/HELICOPTER.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/words/helicopter-1.html, https://bslsignbank.ucl.ac.uk/dictionary/gloss/3678',
bsl.3679,3679,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/HE/HELLO.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/words/hello-1.html, https://bslsignbank.ucl.ac.uk/dictionary/gloss/3679',
bsl.3688,3688,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/HI/HIPPY.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/words/hippy-1.html, https://bslsignbank.ucl.ac.uk/dictionary/gloss/3688',
bsl.3723,3723,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/HO/HOW-MANY.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/gloss/HOW-MANY.html,  https://bslsignbank.ucl.ac.uk/dictionary/gloss/3723',
bsl.3754,3754,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/IN/INDEPENDENT.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/words/independent-1.html, https://bslsignbank.ucl.ac.uk/dictionary/gloss/3754',
bsl.3759,3759,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/IN/INDIA02-3759.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/gloss/INDIA02.html,  https://bslsignbank.ucl.ac.uk/dictionary/gloss/3759',
bsl.3824,3824,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/JU/JUST.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/words/just-1.html, https://bslsignbank.ucl.ac.uk/dictionary/gloss/3824',
bsl.3825,3825,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/JU/JUST2.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/words/just-02.html, https://bslsignbank.ucl.ac.uk/dictionary/gloss/3825',
bsl.3826,3826,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/KA/KARATE.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/words/karate-1.html, https://bslsignbank.ucl.ac.uk/dictionary/gloss/3826',
bsl.3833,3833,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/KI/KILT.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/words/kilt-1.html, https://bslsignbank.ucl.ac.uk/dictionary/gloss/3833',
bsl.3836,3836,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/KI/KITCHEN.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/words/kitchen-1.html, https://bslsignbank.ucl.ac.uk/dictionary/gloss/3836',
bsl.3837,3837,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/KI/KITCHEN2.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/words/kitchen-02.html, https://bslsignbank.ucl.ac.uk/dictionary/gloss/3837',
bsl.3854,3854,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/LA/LAPTOP.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/words/laptop-1.html, https://bslsignbank.ucl.ac.uk/dictionary/gloss/3854',
bsl.3878,3878,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/LE/LEEDS.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/gloss/LEEDS.html,  https://bslsignbank.ucl.ac.uk/dictionary/gloss/3878',
bsl.3893,3893,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/LI/LIGHTHOUSE.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/words/lighthouse-1.html, https://bslsignbank.ucl.ac.uk/dictionary/gloss/3893',
bsl.3917,3917,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/LO/LOOK.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/words/look-1.html, https://bslsignbank.ucl.ac.uk/dictionary/gloss/3917',
bsl.3940,3940,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/MA/MADRID.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/gloss/MADRID.html,  https://bslsignbank.ucl.ac.uk/dictionary/gloss/3940',
bsl.3967,3967,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/MA/MARGATE.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/gloss/MARGATE.html,  https://bslsignbank.ucl.ac.uk/dictionary/gloss/3967',
bsl.3985,3985,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/ME/MEDAL.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/words/medal-1.html, https://bslsignbank.ucl.ac.uk/dictionary/gloss/3985',
bsl.4038,4038,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/MO/MOUSTACHE.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/words/moustache-1.html, https://bslsignbank.ucl.ac.uk/dictionary/gloss/4038',
bsl.4045,4045,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/MU/MUMPS.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/words/mumps-1.html, https://bslsignbank.ucl.ac.uk/dictionary/gloss/4045',
bsl.4049,4049,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/NA/NAILBRUSH.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/words/nailbrush-1.html, https://bslsignbank.ucl.ac.uk/dictionary/gloss/4049',
bsl.4061,4061,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/NE/NECKLACE.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/words/necklace-1.html, https://bslsignbank.ucl.ac.uk/dictionary/gloss/4061',
bsl.4064,4064,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/NE/NETBALL.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/words/netball-1.html, https://bslsignbank.ucl.ac.uk/dictionary/gloss/4064',
bsl.4069,4069,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/NE/NEWCASTLE.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/gloss/NEWCASTLE.html,  https://bslsignbank.ucl.ac.uk/dictionary/gloss/4069',
bsl.4070,4070,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/NE/NEWCASTLE2.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/gloss/NEWCASTLE02.html,  https://bslsignbank.ucl.ac.uk/dictionary/gloss/4070',
bsl.4089,4089,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/NI/NIGHTCLUB.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/words/nightclub-1.html, https://bslsignbank.ucl.ac.uk/dictionary/gloss/4089',
bsl.4096,4096,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/NO/NO.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/words/no-1.html, https://bslsignbank.ucl.ac.uk/dictionary/gloss/4096',
bsl.4114,4114,bsl,bsl-signbank,https://bslsignbank.ucl.ac.uk/media/bsl-video/NO/NOW.mp4,'https://bslsignbank.ucl.ac.uk/dictionary/words/now-1.html, https://bslsignbank.ucl.ac.uk/dictionary/gloss/4114',
